,,,,,,,,,,,
"Desktop Wireframes","Comments","Index","Level 1 Page","Level 2 Page","Level 3 Page","Level 4 Page","Level 5 Page","Level 6 Page","Mega Menu?","Current URL","Drupal Type"
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,"Industry Job Boards",,,,,"yes","https://www.workbc.ca/Jobs-Careers/Find-Jobs/View-B-C-Industry-Job-Boards.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=dst01w&p=l2_-_bc_industries___sectors&g=1",,,,"Work in British Columbia",,,,,"yes","https://www.workbc.ca/Jobs-Careers/Work-in-B-C.aspx","Landing page"
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,"Why You Should Come Work in B.C.",,,,,"https://www.workbc.ca/Jobs-Careers/Work-in-B-C/Learn-why-you-should-come-to-work-in-B-C.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,"Get Started on Your Career in B.C.",,,,,"https://www.workbc.ca/Jobs-Careers/Work-in-B-C/Get-started-on-your-career-in-B-C.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1",,,,"WorkBC Job Board Advantage",,,,,"yes","https://www.workbc.ca/Jobs-Careers/Find-Jobs/Discover-the-WorkBC-Job-Board-advantage.aspx","Landing page"
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1",,,,,"Frequently Asked Questions for Job Seekers",,,,,"https://www.workbc.ca/Jobs-Careers/Find-Jobs/Discover-the-WorkBC-Job-Board-advantage/Frequently-Asked-Questions-for-Job-Seekers.aspx",
,,,,,,,,,,,
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=w4d6eh&p=l1_-_plan_a_career_-_approved&g=1",,,"Plan a Career",,,,,,"yes","New Page","Landing page"
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=b71pkq&p=l2_-_explore_careers_-_approved&g=1",,,,"Explore Careers",,,,,"yes","https://www.workbc.ca/Jobs-Careers/Explore-Careers.aspx","Landing page"
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=o7vmii&p=l3_-_profiles_a-z_-_approved&g=1",,,,,"A-Z Profile Search",,,,"yes","https://www.workbc.ca/Jobs-Careers/Explore-Careers/Career-Profile-Search-A.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=igtdif&p=career_profile_-_approved&g=1","One example of 500 Career Pages needed",,,,,"Career Profile",,,,"https://www.workbc.ca/Jobs-Careers/Explore-Careers/Browse-Career-Profile/7251",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=s5vw6o&p=search_results_-_wip&g=1","There is a search box in the Explore Careers page, this is the results from that search",,,,"Search Results",,,,,"https://www.workbc.ca/Jobs-Careers/Explore-Careers/Career-Profile-Search-Results",
,"This is just a link from the Explore Careers Page ",,,,"Career Search Tool",,,,"yes","https://www.workbc.ca/careersearchtool/","Link"
,"This is just a link from the Explore Careers Page",,,,"Career Transition Tool",,,,"yes","https://www.workbc.ca/careertransitiontool/","Link"
,"This is just a link from the Explore Careers Page",,,,"Career Discovery Quizzes",,,,"yes","https://www.workbc.ca/careercompass","Link"
,"This is just a link from the Explore Careers Page",,,,"Career Trek Videos",,,,"yes","https://www.careertrekbc.ca/","Link"
,"This is just a link from the Explore Careers Page",,,,"Cost of Living Calculator",,,,"yes","https://www.costofliving.workbc.ca/","Link"
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1",,,,,"Types of Employment in BC",,,,"yes","https://www.workbc.ca/Jobs-Careers/Explore-Careers/Types-of-Employment-in-BC.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,"Self Employment",,,,"yes","https://www.workbc.ca/Jobs-Careers/Explore-Careers/Is-Self-Employment-for-You.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1",,,,,"B.C. Occupational Regulators",,,,"yes","https://www.workbc.ca/Jobs-Careers/Explore-Careers/B-C-Occupational-Regulators.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=h9augb&p=l3_-_definitions_-_approved&g=1",,,,,"Definitions",,,,"yes","https://www.workbc.ca/Jobs-Careers/Career-Toolkit/Definitions.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=66keqg&p=l2_-_news_-_wip&g=1",,,,"Resources for",,,,,"yes","https://www.workbc.ca/Resources-for.aspx","Landing page"
,,,,,"Indigenous People",,,,"yes","https://www.workbc.ca/Resources-for/Indigenous-People.aspx",
,,,,,"People with Disabilities",,,,"yes","https://www.workbc.ca/Resources-for/People-with-Disabilities.aspx",
,,,,,"Counsellors & Educators",,,,"yes","https://www.workbc.ca/Resources-for/Resources-for-Counsellors-Teachers-Parents.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=66keqg&p=l2_-_news_-_wip&g=1",,,,,"Parents",,,,"yes","https://www.workbc.ca/Resources-for/Parents.aspx","Landing page"
,,,,,,"Getting Started",,,,"https://www.workbc.ca/Resources-for/Parents/Getting-Started.aspx",
,,,,,,"Knowing Oneself",,,,"https://www.workbc.ca/Resources-for/Parents/Knowing-Oneself.aspx",
,,,,,,"Exploring the Possibilities",,,,"https://www.workbc.ca/Resources-for/Parents/Exploring-the-Possibilities.aspx",
,,,,,,"Making a Plan",,,,"https://www.workbc.ca/Resources-for/Parents/Making-a-Plan.aspx",
,,,,,,"Getting Skills and Experience",,,,"https://www.workbc.ca/Resources-for/Parents/Getting-Skills-and-Experience.aspx",
,,,,,,"Financing Education",,,,"https://www.workbc.ca/Resources-for/Parents/Financing-an-Education.aspx",
,,,,,,"Entering the Workforce",,,,"https://www.workbc.ca/Resources-for/Parents/Entering-the-Workforce.aspx",
,,,,,,"Discovering Resources",,,,"https://www.workbc.ca/Resources-for/Parents/Discovering-Resources.aspx",
,,,,,,"2018 WorkBC Parents' Guide",,,,"https://www.workbc.ca/Resources-for/Teachers-Career-Counsellors/2018-WorkBC-Parents-Guide.aspx",
,,,,,"Mature Workers",,,,"yes","https://www.workbc.ca/Resources-for/Mature-Workers.aspx",
,,,,,"People New to B.C.",,,,"yes","https://www.workbc.ca/Resources-for/New-to-B-C.aspx",
,,,,,"Veterans & Serving Military Members",,,,"yes","https://www.workbc.ca/Resources-for/Veterans-and-Serving-Military-Members.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=8xc7m2&p=l3_-_resources_for_women_-_approved&g=1",,,,,"Women",,,,"yes","https://www.workbc.ca/Resources-for/Women.aspx",
,,,,,"Youth",,,,"yes","https://www.workbc.ca/Resources-for/Youth.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=o80809&p=l1_-_access_employer_resources&g=1",,,,"Career Events",,,,,"yes","New Page","Landing page"
,,,,," Find Your Fit Tour",,,,"yes","https://www.workbc.ca/Jobs-Careers/Find-Your-Fit-Tour.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=b27wrh&p=l3_-_request_tour_stop_-_approved&g=1",,,,,,"Request a Tour Stop",,,,"https://www.workbc.ca/Jobs-Careers/Find-Your-Fit-Tour/Request-a-Tour-Form-Page.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=3hnqfz&p=l3_-_calendar_of_events_-_approved&g=1",,,,,"Calendar of Upcoming Events",,,,"yes","https://www.workbc.ca/Jobs-Careers/Find-Your-Fit-Tour/Upcoming-Events.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=g42sgo&p=l2_-_skills_for_the_future_workforce_-_wip&g=1",,,,"Skills for the Future Workforce",,,,,"yes","https://www.workbc.ca/Labour-Market-Industry/Skills-for-the-Future-Workforce.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=u0o1ib&p=l2_-_publications_-_approved&g=1",,,,"Our Publications",,,,,"yes","https://www.workbc.ca/Employment-Services/WorkBC-Publications.aspx",
,,,,,"WorkBC Order Form",,,,"yes","https://www.workbc.ca/Resources-for/Teachers-Career-Counsellors/WorkBC-Resource-Order-Form.aspx",
,,,,"Blog",,,,,"yes","New Page",
,"One example of 55 blog pages needed",,,,"Individual blogs (separate web pages)",,,,,,
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=1k0gay&p=l2_-_video_library&g=1",,,,"Success Stories",,,,,"yes","https://www.workbc.ca/Jobs-Careers/Success-Stories.aspx",
,"One example of 25 success story pages needed",,,,"Marilou",,,,,"https://www.workbc.ca/Jobs-Careers/Success-Stories/MARILOU-APPLEBY-A-REALTOR%C2%AE-STILL-GOING-STRONG.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=1k0gay&p=l2_-_video_library_-_approved&g=1",,,,"Video Library",,,,,"yes","https://www.workbc.ca/videolibrary/",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=66keqg&p=l2_-_news_-_wip&g=1",,,,"News",,,,,"yes","https://www.workbc.ca/news",
,"One example of 22 news story pages needed",,,,"News story page",,,,,"https://www.workbc.ca/News/COMING-SOON-UPDATES-TO-THE-WORKBC-JOB-BOARD.aspx",
,,,,,,,,,,,
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=6awwwi&p=l1_-_discover_employment_services_-_approved&g=1",,,"Discover Employment Services",,,,,,"yes","https://www.workbc.ca/Employment-Services.aspx","Landing page"
,,,,"Renseignements sur les services à l’emploi",,,,,,"https://www.workbc.ca/Employment-Services/Renseignements-sur-les-services-a-lemploi.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=i4a5yw&p=l2_-_job_application_tips&g=1",,,,"WorkBC Centres",,,,,"yes","https://www.workbc.ca/Employment-Services/WorkBC-Centres.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,"Employment Services",,,,,"https://www.workbc.ca/Employment-Services/WorkBC-Centres/Employment-Services.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=4oj1yw&p=l3_-_who_should_visit_workbc_centre_-_wip&g=1",,,,,"Who Should Visit a WorkBC Centre",,,,"yes","https://www.workbc.ca/Employment-Services/WorkBC-Centres/Who-Should-Visit-a-WorkBC-Centre.aspx",
,,,,,"WorkBC Centres Locations",,,,"yes","https://www.workbc.ca/Employment-Services/WorkBC-Centres/Find-Your-WorkBC-Centre.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,,"WorkBC Centres Listings",,,,"https://www.workbc.ca/Employment-Services/WorkBC-Centres/WorkBC-Centres-Listing.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=rnlktd&p=l4_-_workbc_centre_-_abbotsford_-_approved&g=1","One example of 126 WorkBC Centre Pages needed",,,,,"One example of: 126 WorkBC Centre Pages",,,,"https://www.workbc.ca/WorkBC-Centres/Vancouver-Island-Coast/Ucluelet.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Self-Serve Services",,,,,"https://www.workbc.ca/Employment-Services/WorkBC-Centres/Self-Serve-Services.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=o89in0&p=l2_-_online_employment_services_-_onhold&g=1",,,,"Online Employment Services",,,,,"yes","https://www.workbc.ca/Employment-Services/WorkBC-Centres/Online-Employment-Services.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,"Assistive Technology Services",,,,,"yes","https://www.workbc.ca/Employment-Services/Assistive-Technology-Services.aspx",
,,,,"Indigenous Skills And Employment Training",,,,,"yes","https://www.workbc.ca/Employment-Services/ISETs-Map.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=2j8trz&p=l2_-_hire_employees_-_approved&g=1",,,,"Community & Employer Partnerships",,,,,"yes","https://www.workbc.ca/Employment-Services/Community-and-Employer-Partnerships.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"More about Community & Employer Partnerships",,,,"yes","https://www.workbc.ca/Employment-Services/Community-and-Employer-Partnerships/Community-and-Employer-Partnerships.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=k4g3p2&p=l3_-_self-assessment_questionnaire_-_onhold&g=1",,,,,"Self-Assessment Questionnaire",,,,"yes","https://www.workbc.ca/Employment-Services/Community-and-Employer-Partnerships/Self-Assessment-Questionnaire.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Job Creation Partnerships",,,,"yes","https://www.workbc.ca/Employment-Services/Community-and-Employer-Partnerships/Job-Creation-Partnerships.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Labour Market Partnerships",,,,"yes","https://www.workbc.ca/Employment-Services/Community-and-Employer-Partnerships/Labour-Market-Partnerships.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Project-Based Labour Market Training",,,,"yes","https://www.workbc.ca/Employment-Services/Community-and-Employer-Partnerships/Project-Based-Labour-Market-Training.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Research & Innovation",,,,"yes","https://www.workbc.ca/Employment-Services/Community-and-Employer-Partnerships/Research-and-Innovation.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,"Wage Subsidy Program",,,,,"yes","https://www.workbc.ca/Employment-Services/Wage-Subsidy.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=2j8trz&p=l2_-_hire_employees_-_approved&g=1",,,,"Work Experience Opportunities Grant",,,,,"yes","https://www.workbc.ca/Employment-Services/Work-Experience-Opportunities-Grant.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Program Overview",,,,"yes","https://www.workbc.ca/Employment-Services/Work-Experience-Opportunities-Grant/Program-overview.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Eligibility Requirements",,,,"yes","https://www.workbc.ca/Employment-Services/Work-Experience-Opportunities-Grant/Applicant-eligibility-criteria.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Program Funding",,,,,"https://www.workbc.ca/Employment-Services/Work-Experience-Opportunities-Grant/Program-funding.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Prepare for a succesful application",,,,,"https://www.workbc.ca/Employment-Services/Work-Experience-Opportunities-Grant/Prepare-for-a-successful-application.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Submit your application",,,,,"https://www.workbc.ca/Employment-Services/Work-Experience-Opportunities-Grant/Submit-your-application.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=xwd38v&p=l2_-_apprentice_services_-_approved&g=1",,,,"Apprentice Services",,,,,"yes","https://www.workbc.ca/Employment-Services/Apprentice-Services.aspx","Landing page"
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Access Online WorkBC Apprentice Services",,,,"yes","https://www.workbc.ca/Employment-Services/Apprentice-Services/Access-Online-WorkBC-Apprentice-Services.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Assess Your Eligibility",,,,"yes","https://www.workbc.ca/Employment-Services/Apprentice-Services/Assess-Your-Eligibility.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"How To Apply",,,,"yes","https://www.workbc.ca/Employment-Services/Apprentice-Services/How-To-Apply.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Training Supports",,,,"yes","https://www.workbc.ca/Employment-Services/Apprentice-Services/Training-Supports.aspx",
,,,,,,,,,,,
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=3h8u5o&p=l1_-_explore_training___education&g=1",,,"Explore Training & Education",,,,,,"yes","https://www.workbc.ca/Training-Education.aspx","Landing page"
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=o80809&p=l1_-_access_employer_resources&g=1",,,,"Skills Training & Supports",,,,,"yes","New Page",
,,,,,"Skills Training for Employment Program",,,,,"https://www.workbc.ca/Training-Education/Skills-Training-for-Employment.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1",,,,,,"Impacted Workers",,,"yes","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Impacted-Workers.aspx",
,,,,,,"Young Adults at Risk",,,"yes","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-at-Risk-Program.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1","One example of 7 regional pages needed",,,,,,"One example of: 7 Regional Pages",,,"https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-at-Risk-Program/Cariboo.aspx",
,,,,,,"Young Adults",,,"yes","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-Program.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1","One example of 7 regional pages needed",,,,,,"One example of: 7 Regional Pages",,,"https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Young-Adults-Program/Cariboo.aspx",
,,,,,,"Survivors of Violence and/or Abuse",,,"yes","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Survivors-of-Violence-and-or-Abuse.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1","One example of 7 regional pages needed",,,,,,"One example of: 7 Regional Pages",,,"https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Survivors-of-Violence-and-or-Abuse/Cariboo.aspx",
,,,,,,"Older Workers 55+",,,"yes","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Older-Workers-55.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1","One example of 7 regional pages needed",,,,,,"One example of: 7 Regional Pages",,,"https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Older-Workers-55/Cariboo.aspx",
,,,,,,"Individuals Facing Multiple Barriers",,,"yes","https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Individuals-Facing-Multiple-Barriers.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1","One example of 7 regional pages needed",,,,,,"One example of: 7 Regional Pages",,,"https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/STE-Individuals-Facing-Multiple-Barriers/Cariboo.aspx",
,,,,,,"People at Risk of or Experiencing Homelessness",,,,"https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/People-at-Risk-of-or-Experiencing-Homelessness.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1","One example of 7 regional pages needed",,,,,,"One example of: 7 Regional Pages",,,"https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/People-at-Risk-of-or-Experiencing-Homelessness/Cariboo.aspx",
,,,,,,"Persons with Disabilities",,,,"https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Persons-with-Disabilities.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1","One example of 7 regional pages needed",,,,,,"One example of: 7 Regional Pages",,,"https://www.workbc.ca/Training-Education/Skills-Training-for-Employment/Persons-with-Disabilities/Mainland-Southwest.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=dst01w&p=l2_-_bc_industries___sectors&g=1",,,,,"BladeRunners Program for At-Risk Young Adults",,,,,"https://www.workbc.ca/Employment-Services/Labour-Market-Programs/Bladerunners-Program.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1",,,,,,"Overview",,,,"New Page",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,,"Programs",,,,"https://www.workbc.ca/Employment-Services/Labour-Market-Programs/Bladerunners-Program/Service-Providers.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=dst01w&p=l2_-_bc_industries___sectors&g=1",,,,"Trades Training",,,,,"yes","https://www.workbc.ca/Training-Education/Trades-Training.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1",,,,,"Trades Training Programs",,,,"yes","https://www.workbc.ca/Training-Education/Trades-Training/Access-trade-training-programs-(1).aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1",,,,,"About Apprenticeship",,,,"yes","https://www.workbc.ca/Training-Education/Trades-Training/About-Apprenticeship.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=dst01w&p=l2_-_bc_industries___sectors&g=1",,,,,"Pre-Apprenticeship Programs",,,,"yes","https://www.workbc.ca/Training-Education/Trades-Training/Pre-Apprentice-Programs.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"Indigenous People in Trades Training",,,,"New Page",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"Women in Trades Training",,,,"New Page",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"Equity Seeking Groups in Trades Training",,,,"New Page",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,,"Persons with Disabilities in Trades Training",,,,"New Page",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1",,,,"Post-Secondary Education",,,,,"yes","https://www.workbc.ca/Training-Education/Post-Secondary.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1",,,,"Co-operative Education",,,,,"yes","https://www.workbc.ca/Training-Education/Co-operative-Education.aspx",
,,,,,,,,,,,
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=wuwi4b&p=l1_-_research_the_labour_market_-_approved&g=1",,,"Research the Labour Market",,,,,,"yes","https://www.workbc.ca/Labour-Market-Industry.aspx","Landing page"
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=1lfvda&p=l2_-_industry___employers_-_approved&g=1",,,,"B.C.'s Economy",,,,,"yes","https://www.workbc.ca/Labour-Market-Industry/B-C-s-Economy.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=74lpyu&p=l3_-_labour_market_monthly_update_-_approved&g=1",,,,,"Labour Market Monthly Update",,,,"yes","https://www.workbc.ca/Labour-Market-Industry/B-C-s-Economy/Labour-market-snapshots.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1",,,,,"Green Economy",,,,"yes","https://www.workbc.ca/Labour-Market-Industry/B-C-s-Economy/Green-Economy.aspx",
