,,,,,,,,,,,
"Desktop Wireframes","Comments","Index","Level 1 Page","Level 2 Page","Level 3 Page","Level 4 Page","Level 5 Page","Level 6 Page","Mega Menu?","Current URL","Drupal Type"
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btzjir&p=home&g=1",,"Home",,,,,,,"yes","https://www.workbc.ca/","Landing page"
,,,,,,,,,,,
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=a8iqb9&p=l1_-_search___prepare_for_a_job_-_approved&g=1",,,"Search & Prepare for a Job",,,,,,"yes","New Page","Landing page"
,"This is just a link from the Search & Prepare Page that will point to the job board",,,"Find Jobs",,,,,"yes","https://www.workbc.ca/Jobs-Careers/Find-Jobs/Jobs.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","This is a hidden page that is only avilable via a link from the job board ",,,,"Job Search Tips",,,,,"https://www.workbc.ca/Jobs-Careers/Find-Jobs/Job-Board-Search-Tips.aspx",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=i4a5yw&p=l2_-_job_application_tips&g=1 ",,,,"Job Application Tips",,,,,"yes","https://www.workbc.ca/Jobs-Careers/Find-Jobs/Job-application-tips.aspx","Landing page"
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1 ",,,,,"Resume & Cover Letter",,,,"yes","New Page",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,"Interviews",,,,"yes","New Page",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1 ",,,,,"Networking",,,,"yes","New Page",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,"Social Media",,,,"yes","New Page",
"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1",,,,,"Know Your Rights as a Job Applicant",,,,"yes","https://www.workbc.ca/Jobs-Careers/Find-Jobs/Your-Rights-as-a-Job-Applicant.aspx",
