"Index","Level 1 Page","Level 2 Page","Level 3 Page","Level 4 Page","Level 5 Page","Mega Menu?","Drupal Content Type","Gather Content Template","Comments","Desktop Wireframes","Current URL","New URL","Page Format","Content Group","View Mode"
"Home",,,,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btzjir&p=home_-_approved&g=1","https://www.workbc.ca/","/front",,,
,,,,,,,,,,,,,,,
,"Search and Prepare for a Job",,,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=a8iqb9&p=l1_-_search___prepare_for_a_job_-_approved&g=1","https://www.workbc.ca/Jobs-Careers.aspx",,,,
,,"Find Jobs",,,,"yes","Basic page",,"This is just a link from the Search & Prepare Page that will point to the job board",,"https://www.workbc.ca/Jobs-Careers/Find-Jobs/Jobs.aspx,https://www.workbc.ca/Jobs-Careers/Find-Jobs.aspx,https://www.workbc.ca/jobs",,,,"jobboard"
,,,"Job Search Tips",,,"No","Basic page",,"This is a hidden page that is only available via a link from the job board ","http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Jobs-Careers/Find-Jobs/Job-Board-Search-Tips.aspx,https://www.workbc.ca/Jobs-Careers/Find-Jobs/Job-Search-Tips-for-Mobile.aspx",,"sidenav",,
,,"Job Application Tips",,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=i4a5yw&p=l2_-_job_application_tips_-_approved&g=1","https://www.workbc.ca/Jobs-Careers/Find-Jobs/Job-application-tips.aspx,https://www.workbc.ca/jobsearch",,,,
,,,"Resume and Cover Letter",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1 ","New Page",,"sidenav",,
,,,"Interviews",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1 ","New Page",,"sidenav",,
,,,"Networking",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1 ","New Page",,,,
,,,"Social Media",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1 ","New Page",,,,
,,,"Know Your Rights as a Job Applicant",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1 ","https://www.workbc.ca/Jobs-Careers/Find-Jobs/Your-Rights-as-a-Job-Applicant.aspx",,"sidenav",,
,,"Industry Job Boards",,,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Jobs-Careers/Find-Jobs/View-B-C-Industry-Job-Boards.aspx",,"sidenav",,
,,"Work in British Columbia",,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=dst01w&p=l2_-_bc_industries___sectors_-_approved&g=1","https://www.workbc.ca/Jobs-Careers/Work-in-B-C.aspx,https://www.workbc.ca/workinbc",,,,
,,,"Why You Should Come Work in B.C.",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Jobs-Careers/Work-in-B-C/Learn-why-you-should-come-to-work-in-B-C.aspx,https://www.workbc.ca/comehome",,,,
,,,"Get Started on Your Career in B.C.",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Jobs-Careers/Work-in-B-C/Get-started-on-your-career-in-B-C.aspx,https://www.workbc.ca/getstarted",,"sidenav",,
,,"WorkBC Job Board Advantage",,,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc&g=1","https://www.workbc.ca/Jobs-Careers/Find-Jobs/Discover-the-WorkBC-Job-Board-advantage.aspx",,,,
,,,,,,,,,,,,,,,
,"Plan a Career",,,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=w4d6eh&p=l1_-_plan_a_career_-_approved&g=1","New Page",,,,
,,"Explore Careers",,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=b71pkq&p=l2_-_explore_careers_-_approved&g=1","https://www.workbc.ca/Jobs-Careers/Explore-Careers.aspx,https://www.workbc.ca/careerprofiles,https://www.workbc.ca/careers",,,,
,,,"A-Z Profile Search",,,"yes","View of Career Profile",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=o7vmii&p=l3_-_profiles_a-z_-_approved&g=1","https://www.workbc.ca/Jobs-Careers/Explore-Careers/Career-Profile-Search-A.aspx","/plan-career/explore-careers/career-search",,,
,,,,"Career Profile",,,"Career Profile",,"One example of 500 Career Pages needed","http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=igtdif&p=career_profile_-_approved&g=1","https://www.workbc.ca/Jobs-Careers/Explore-Careers/Browse-Career-Profile/7251",,,,
,,,"Search Results",,,,"Custom page generated by search module",,"There is a search box in the Explore Careers page, this is the results from that search","http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=s5vw6o&p=search_results_-_wip&g=1 ","https://www.workbc.ca/Jobs-Careers/Explore-Careers/Career-Profile-Search-Results ","/search-career-profiles",,,
,,,"Career Search Tool",,,"yes","Link",,"This is just a link from the Explore Careers Page ",,"https://www.workbc.ca/careersearchtool/","https://www.workbc.ca/careersearchtool/",,,
,,,"Career Transition Tool",,,"yes","Link",,"This is just a link from the Explore Careers Page",,"https://www.workbc.ca/careertransitiontool/","https://www.workbc.ca/careertransitiontool/",,,
,,,"Career Discovery Quizzes",,,"yes","Link",,"This is just a link from the Explore Careers Page",,"https://www.workbc.ca/careercompass","https://www.workbc.ca/careercompass",,,
,,,"Career Trek Videos",,,"yes","Link",,"This is just a link from the Explore Careers Page",,"https://www.careertrekbc.ca/","https://www.careertrekbc.ca/",,,
,,,"Cost of Living Calculator",,,"yes","Link",,"This is just a link from the Explore Careers Page",,"https://www.costofliving.workbc.ca/","https://www.costofliving.workbc.ca/",,,
,,,"Types of Employment in B.C.",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1","https://www.workbc.ca/Jobs-Careers/Explore-Careers/Types-of-Employment-in-BC.aspx",,,,
,,,"Self-Employment",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1 ","https://www.workbc.ca/Jobs-Careers/Explore-Careers/Is-Self-Employment-for-You.aspx",,"sidenav",,
,,,"B.C. Occupational Regulators",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Jobs-Careers/Explore-Careers/B-C-Occupational-Regulators.aspx",,"sidenav",,
,,,"Definitions",,,"yes","View of Definition",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=h9augb&p=l3_-_definitions_-_approved&g=1","https://www.workbc.ca/Jobs-Careers/Career-Toolkit/Definitions.aspx","/plan-career/explore-careers/definitions",,,
,,"Resources for",,,,"yes","Landing page",,"Should be 1/3 card for each resource.","http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=66keqg&p=l2_-_news_-_approved&g=1","https://www.workbc.ca/Resources-for.aspx ",,,,
