"Index","Level 1 Page","Level 2 Page","Level 3 Page","Level 4 Page","Level 5 Page","Mega Menu?","Drupal Content Type","Gather Content Template","Comments","Desktop Wireframes","Current URL","New URL","Page Format","Content Group","View Mode"
,,,"Indigenous Peoples",,,"yes","Basic page Hero",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=8xc7m2&p=l3_-_resources_for_women_-_approved&g=1","https://www.workbc.ca/Resources-for/Indigenous-People.aspx,https://www.workbc.ca/Aboriginal,https://www.workbc.ca/indigenous",,"sidenav",,
,,,"People with Disabilities",,,"yes","Basic page Hero",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=8xc7m2&p=l3_-_resources_for_women_-_approved&g=1","https://www.workbc.ca/Resources-for/People-with-Disabilities.aspx,https://www.workbc.ca/accessibility",,"sidenav",,
,,,"Teachers and Career Counsellors",,,"yes","Basic page Hero",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=8xc7m2&p=l3_-_resources_for_women_-_approved&g=1","https://www.workbc.ca/Resources-for/Resources-for-Counsellors-Teachers-Parents.aspx,https://www.workbc.ca/Resources-for/Teachers-Career-Counsellors.aspx,https://www.workbc.ca/careercounsellors,https://www.workbc.ca/teachers",,"sidenav",,
,,,"Parents",,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=t0aahk&p=l3_-_resources_for_parents_-_approved&g=1","https://www.workbc.ca/Resources-for/Parents.aspx,https://www.workbc.ca/parents",,,,
,,,,"Step 1: Getting Started",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=j135b5&p=l4_-_resources_for_parents_-_step1_-_approved&g=1 ","https://www.workbc.ca/Resources-for/Parents/Getting-Started.aspx ",,"sidenav",,
,,,,"Step 2: Knowing Oneself",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=j135b5&p=l4_-_resources_for_parents_-_step1_-_approved&g=1 ","https://www.workbc.ca/Resources-for/Parents/Knowing-Oneself.aspx ",,"sidenav",,
,,,,"Step 3: Exploring the Possibilities",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=j135b5&p=l4_-_resources_for_parents_-_step1_-_approved&g=1 ","https://www.workbc.ca/Resources-for/Parents/Exploring-the-Possibilities.aspx ",,"sidenav",,
,,,,"Step 4: Making a Plan",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=j135b5&p=l4_-_resources_for_parents_-_step1_-_approved&g=1 ","https://www.workbc.ca/Resources-for/Parents/Making-a-Plan.aspx ",,"sidenav",,
,,,,"Step 5: Getting Skills and Experience",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=j135b5&p=l4_-_resources_for_parents_-_step1_-_approved&g=1 ","https://www.workbc.ca/Resources-for/Parents/Getting-Skills-and-Experience.aspx ",,"sidenav",,
,,,,"Step 6: Financing an Education",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=j135b5&p=l4_-_resources_for_parents_-_step1_-_approved&g=1 ","https://www.workbc.ca/Resources-for/Parents/Financing-an-Education.aspx ",,"sidenav",,
,,,,"Step 7: Entering the Workforce",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=j135b5&p=l4_-_resources_for_parents_-_step1_-_approved&g=1 ","https://www.workbc.ca/Resources-for/Parents/Entering-the-Workforce.aspx ",,"sidenav",,
,,,,"Discovering Resources",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=j135b5&p=l4_-_resources_for_parents_-_step1_-_approved&g=1 ","https://www.workbc.ca/Resources-for/Parents/Discovering-Resources.aspx ",,"sidenav",,
,,,,"2018 WorkBC Parents' Guide",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1","https://www.workbc.ca/Resources-for/Teachers-Career-Counsellors/2018-WorkBC-Parents-Guide.aspx,https://www.workbc.ca/parentguide,https://www.workbc.ca/Resources-for/Resources-for-Counsellors-Teachers-Parents/2018-WorkBC-Parents-Guide.aspx",,,,
,,,"Mature Workers",,,"yes","Basic page Hero",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=8xc7m2&p=l3_-_resources_for_women_-_approved&g=1","https://www.workbc.ca/Resources-for/Mature-Workers.aspx ",,,,
,,,"People New to B.C.",,,"yes","Basic page Hero",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=8xc7m2&p=l3_-_resources_for_women_-_approved&g=1","https://www.workbc.ca/Resources-for/New-to-B-C.aspx",,"sidenav",,
,,,"Veterans and Serving Military Members",,,"yes","Basic page Hero",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=8xc7m2&p=l3_-_resources_for_women_-_approved&g=1","https://www.workbc.ca/Resources-for/Veterans-and-Serving-Military-Members.aspx",,,,
,,,"Women",,,"yes","Basic page Hero",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=8xc7m2&p=l3_-_resources_for_women_-_approved&g=1","https://www.workbc.ca/Resources-for/Women.aspx,https://www.workbc.ca/woman,https://www.workbc.ca/women",,"sidenav",,
,,,"Youth",,,"yes","Basic page Hero",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=8xc7m2&p=l3_-_resources_for_women_-_approved&g=1","https://www.workbc.ca/Resources-for/Youth.aspx,https://www.workbc.ca/youth",,"sidenav",,
,,"Career Events",,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=o80809&p=l1_-_access_employer_resources_-_approved&g=1","New Page",,,,
,,," Find Your Fit Tour",,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=woqvtw&p=l3_-_find_your_fit_tour_-_approved&g=1 ","https://www.workbc.ca/Jobs-Careers/Find-Your-Fit-Tour.aspx,https://www.workbc.ca/findyourfit",,,,
,,,,"Request a Tour Stop",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=b27wrh&p=l3_-_request_tour_stop_-_approved&g=1","https://www.workbc.ca/Jobs-Careers/Find-Your-Fit-Tour/Request-a-Tour-Form-Page.aspx",,,,
,,,"Calendar of Upcoming Events",,,"yes","Basic page Hero",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=3hnqfz&p=l3_-_calendar_of_events_-_approved&g=1","https://www.workbc.ca/Jobs-Careers/Find-Your-Fit-Tour/Upcoming-Events.aspx",,,,"calendar"
,,"Skills for the Future Workforce",,,,"yes","Basic page Hero",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=t2eydu&p=l2_-_skills_for_the_future_workforce_-_approved&g=1","https://www.workbc.ca/Labour-Market-Industry/Skills-for-the-Future-Workforce.aspx,https://www.workbc.ca/futureworkforce ",,,,
,,,"Skills",,,"yes",,,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=xvffyq&p=l2_-_skills_for_the_future_workforce_-_skills_-_ap&g=1","New Page",,"sidenav",,
,,,"Competencies",,,"yes",,,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=egfm9t&p=l2_-_skills_for_the_future_workforce_-_competencie&g=1","New Page",,"sidenav",,
,,,"Characteristics",,,"yes",,,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=1mw597&p=l2_-_skills_for_the_future_workforce_-_characteris&g=1","New Page",,"sidenav",,
,,"Publications",,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=u0o1ib&p=l2_-_publications_-_approved&g=1","https://www.workbc.ca/Employment-Services/WorkBC-Publications.aspx,https://www.workbc.ca/Publications",,,,
,,,"WorkBC Order Form",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=5dbkbj&p=l3_-_publications_-_workbc_order_form_-_approved&g=1 ","https://www.workbc.ca/Resources-for/Teachers-Career-Counsellors/WorkBC-Resource-Order-Form.aspx",,,,
,,"Blog",,,,"yes","Basic page Hero",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=66keqg&p=l2_-_news_-_approved&g=1 ","https://www.workbc.ca/WorkBC-Blog/Read-WorkBC-s-Blog.aspx,https://www.workbc.ca/blog,https://www.workbc.ca/spotlight",,"wide",,
,,,"Individual blogs (separate web pages)",,,"No","Blog post",,"One example of 55 blog pages needed","http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=hd0oto&p=l3_-_news_article_-_approved&g=1",,,,,
,,"Success Stories",,,,"yes","Basic page Hero",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=66keqg&p=l2_-_news_-_approved&g=1","https://www.workbc.ca/Jobs-Careers/Success-Stories.aspx",,"wide",,
,,,"Marilou",,,"No","Success Story",,"One example of 25 success story pages needed","http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=hd0oto&p=l3_-_news_article_-_approved&g=1  ","https://www.workbc.ca/Jobs-Careers/Success-Stories/MARILOU-APPLEBY-A-REALTOR%C2%AE-STILL-GOING-STRONG.aspx ",,,,
,,"Video Library",,,,"yes","Basic page Hero",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=1k0gay&p=l2_-_video_library_-_approved&g=1","https://www.workbc.ca/videolibrary",,"wide",,
,,"News",,,,"yes","Basic page Hero",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=66keqg&p=l2_-_news_-_approved&g=1","https://www.workbc.ca/news",,"wide",,
,,,"News story page",,,"No","News post",,"One example of 22 news story pages needed","http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=hd0oto&p=l3_-_news_article_-_approved&g=1  ","https://www.workbc.ca/News/COMING-SOON-UPDATES-TO-THE-WORKBC-JOB-BOARD.aspx",,,,
,,"News Archive",,,,"No","Basic page",,,,"New Page",,"wide",,
,,,,,,,,,,,,,,,
,"Discover Employment Services",,,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=6awwwi&p=l1_-_discover_employment_services_-_approved&g=1 ","https://www.workbc.ca/Employment-Services.aspx",,,"SDPR",
,,"Renseignements sur les services à l’emploi",,,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Employment-Services/Renseignements-sur-les-services-a-lemploi.aspx",,"sidenav","SDPR",
,,"WorkBC Centres",,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=3h8u5o&p=l1_-_explore_training___education_-_approved&g=1","https://www.workbc.ca/Employment-Services/WorkBC-Centres.aspx",,,"SDPR",
,,,"Employment Services",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1 ","https://www.workbc.ca/Employment-Services/WorkBC-Centres/Employment-Services.aspx",,"sidenav","SDPR",
,,,,"Services d'emploi",,"No","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1","https://www.workbc.ca/Employment-Services/WorkBC-Centres/Employment-Services-FR",,"sidenav","SDPR",
,,,,"Employment Services Eligibility",,"No","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1","https://www.workbc.ca/Employment-Services/WorkBC-Centres/Employment-Services/Employment-Services-Eligibility.aspx",,,"SDPR",
,,,"Who Should Visit a WorkBC Centre",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=4oj1yw&p=l3_-_who_should_visit_workbc_centre_-_wip&g=1 ","https://www.workbc.ca/Employment-Services/WorkBC-Centres/Who-Should-Visit-a-WorkBC-Centre.aspx",,"sidenav","SDPR",
,,,,"Qui devrait visiter un centre WorkBC",,"No","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=4oj1yw&p=l3_-_who_should_visit_workbc_centre_-_wip&g=1","https://www.workbc.ca/Employment-Services/WorkBC-Centres/Who-Should-Visit-a-WorkBC-Centre-FR",,"sidenav","SDPR",
,,,"WorkBC Centre Locations",,,"yes","Basic page",,"Embedded map","http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Employment-Services/WorkBC-Centres/Find-Your-WorkBC-Centre.aspx,https://www.workbc.ca/Employment-Services/WorkBC-Centres/Find-your-WorkBC-Employment-Services-Centre-(1).aspx,https://www.workbc.ca/WorkBCCentres,https://www.workbc.ca/WorkBC-Centres",,,"SDPR",
,,,,"Trouver un centre WorkBC",,"No","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Employment-Services/WorkBC-Centres/Find-Your-WorkBC-CentreFR.aspx",,,"SDPR",
,,,,"WorkBC Centre Listings",,,"Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=btpimx&p=l3_-_resume___cover_letter&g=1 ","https://www.workbc.ca/Employment-Services/WorkBC-Centres/WorkBC-Centres-Listing.aspx",,"sidenav","SDPR",
,,,,"One example of: 126 WorkBC Centre Pages",,,"WorkBC Centre",,"One example of 126 WorkBC Centre Pages needed","http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=rnlktd&p=l4_-_workbc_centre_-_abbotsford_-_approved&g=1 ","https://www.workbc.ca/WorkBC-Centres/Vancouver-Island-Coast/Ucluelet.aspx",,,"SDPR",
,,,"Self-Serve Services",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Employment-Services/WorkBC-Centres/Self-Serve-Services.aspx",,,"SDPR",
,,,,"Services en libre-service",,"No","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1","https://www.workbc.ca/Employment-Services/WorkBC-Centres/Self-Serve-Services-FR",,,"SDPR",
,,"Online Employment Services",,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=o89in0&p=l2_-_online_employment_services_-_approved&g=1","https://www.workbc.ca/Employment-Services/WorkBC-Centres/Online-Employment-Services.aspx",,,"SDPR",
,,,"Services d'emploi en ligne",,,"No","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=o89in0&p=l2_-_online_employment_services_-_approved&g=1","https://www.workbc.ca/Employment-Services/WorkBC-Centres/Online-Employment-Services-FR",,,"SDPR",
,,"Assistive Technology Services",,,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Employment-Services/Assistive-Technology-Services.aspx",,,"SDPR",
,,"Indigenous Skills and Employment Training",,,,"yes",,,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1","https://www.workbc.ca/Employment-Services/ISETs-Map.aspx,https://www.workbc.ca/Employment-Services/ISETs-Listing.aspx",,,"SDPR",
,,"In the Spotlight",,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=66keqg&p=l2_-_news_-_approved&g=1","https://www.workbc.ca/Employment-Services/In-The-Spotlight.aspx",,,"SDPR",
,,,"Bradly: Working for Himself",,,"No","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=hd0oto&p=l3_-_news_article_-_approved&g=1","https://www.workbc.ca/Employment-Services/In-The-Spotlight/Bradly-Working-For-Himself.aspx",,,"SDPR",
,,,"Jane: Working Again Later in Life",,,"No","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=hd0oto&p=l3_-_news_article_-_approved&g=1","https://www.workbc.ca/Employment-Services/In-The-Spotlight/Jane-Working-Again-Later-In-Life.aspx",,,"SDPR",
,,,"Trenton: Needed Work Experience",,,"No","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=hd0oto&p=l3_-_news_article_-_approved&g=1","https://www.workbc.ca/Employment-Services/In-The-Spotlight/Trenton-Needed-Work-Experience.aspx",,,"SDPR",
,,,"Victoria: Getting Tools She Needed",,,"No","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=hd0oto&p=l3_-_news_article_-_approved&g=1","https://www.workbc.ca/Employment-Services/In-The-Spotlight/Victoria-Getting-Tools-She-Needed.aspx",,,"SDPR",
,,,"Lisa: Pursuing Your Passions at Any Age",,,"No","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=hd0oto&p=l3_-_news_article_-_approved&g=1","https://www.workbc.ca/Employment-Services/In-The-Spotlight/Lisa-Pursuing.aspx",,,"SDPR",
,,,"Louanne: Overcoming Challenges to Gain Meaningful Work",,,"No","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=hd0oto&p=l3_-_news_article_-_approved&g=1","https://www.workbc.ca/Employment-Services/In-The-Spotlight/Louanne-Overcoming-challenges-to-gain-meaningful-w.aspx",,,"SDPR",
,,"Community and Employer Partnerships",,,,"yes","Landing page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=2j8trz&p=l2_-_hire_employees_-_approved&g=1 ","https://www.workbc.ca/Employment-Services/Community-and-Employer-Partnerships.aspx",,,"SDPR",
,,,"More about Community and Employer Partnerships",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1","https://www.workbc.ca/Employment-Services/Community-and-Employer-Partnerships/Community-and-Employer-Partnerships.aspx",,,"SDPR",
,,,"Self-Assessment Questionnaire",,,"yes","Basic page",,"This is a multi-step form but submissions are not meant to be processed.","http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=k4g3p2&p=l3_-_self-assessment_questionnaire_-_onhold&g=1 ","https://www.workbc.ca/Employment-Services/Community-and-Employer-Partnerships/Self-Assessment-Questionnaire.aspx",,,"SDPR",
,,,"Job Creation Partnerships",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Employment-Services/Community-and-Employer-Partnerships/Job-Creation-Partnerships.aspx",,,"SDPR",
,,,"Labour Market Partnerships",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Employment-Services/Community-and-Employer-Partnerships/Labour-Market-Partnerships.aspx",,,"SDPR",
,,,"Project-Based Labour Market Training",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Employment-Services/Community-and-Employer-Partnerships/Project-Based-Labour-Market-Training.aspx",,,"SDPR",
,,,"Research and Innovation",,,"yes","Basic page",,,"http://aved.number41media.com/Wireframes/design-refresh/Beta2022/#id=arhea3&p=l4_-_apprenticeship_training_in_bc_-_approved&g=1 ","https://www.workbc.ca/Employment-Services/Community-and-Employer-Partnerships/Research-and-Innovation.aspx",,,"SDPR",
