NOC 2016 Code (4-digit),NOC 2016 Label,NOC 2016 Skill level,NOC 2021 Code (5-digit),NOC 2021 Label,NOC 2021 TEER,Description
11,Legislators,Management / A,10,Legislators,0,N/A
12,Senior government managers and officials,Management / A,00018,Senior managers - public and private sector,0,N/A
13,"Senior managers - financial, communications and other business services",Management / A,00018,"Senior managers - financial, communications and other business services",0,NOC 0013 merged into NOC 00018
14,"Senior managers - health, education, social and community services and membership organizations",Management / A,00018,"Senior managers - health, education, social and community services and membership organizations",0,NOC 0014 merged into NOC 00018
15,"Senior managers - trade, broadcasting and other services, n.e.c.",Management / A,00018,"Senior managers - trade, broadcasting and other services",0,NOC 0015 merged into NOC 00018
16,"Senior managers - construction, transportation, production and utilities",Management / A,00018,"Senior managers - construction, transportation, production and utilities",0,NOC 0016 merged into NOC 00018
111,Financial managers,Management / A,10010,Financial managers,0,N/A
1121,Human resources professionals,A,11200,Human resources professionals,1,N/A
1241,Administrative assistants,B,13110,Administrative assistants,3,N/A
112,Human resources managers,Management / A,10011,Human resources managers,0,NOC 0112 was split. Job titles related to human resources managers moved from NOC 0112 to NOC 10011.
,,,11200,Human resources professionals,1,"NOC 0112 was split. Job title ""Staff training coordinator"" moved from NOC 0112 to NOC 11200."
,,,13110,Administrative assistants,3,"NOC 0112 was split. Job title ""Human resources administrator"" moved from NOC 0112 to NOC 13110."
,,,21120,Public and environmental health and safety professionals,1,NOC 0112 was split. Job titles related to public and environmental health and safety coordinators moved from NOC 0112 to NOC 21120.
,,,22232,Occupational health and safety specialists,2,NOC 0112 was split. Job titles related to occupational health and safety specialists moved from NOC 0112 to NOC 22232.
113,Purchasing managers,Management / A,10012,Purchasing managers,0,N/A
114,Other administrative services managers,Management / A,10019,Other administrative services managers,0,N/A
121,"Insurance, real estate and financial brokerage managers",Management / A,10020,"Insurance, real estate and financial brokerage managers",0,N/A
122,"Banking, credit and other investment managers",Management / A,10021,"Banking, credit and other investment managers",0,N/A
124,"Advertising, marketing and public relations managers",Management / A,10022,"Advertising, marketing and public relations managers",0,N/A
125,Other business services managers,Management / A,10029,Other business services managers,0,N/A
131,Telecommunication carriers managers,Management / A,10030,Telecommunication carriers managers,0,N/A
132,Postal and courier services managers,Management / A,70021,Postal and courier services managers,0,"NOC 0132 moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
1111,Financial auditors and accountants,A,11100,Financial auditors and accountants,1,N/A
1112,Financial and investment analysts,A,11101,Financial and investment analysts,1,N/A
1113,"Securities agents, investment dealers and brokers",A,11103,"Securities agents, investment dealers and brokers",1,N/A
1114,Other financial officers,A,11109,Other financial officers,1,NOC 1114 was split. Job titles related to other financial officers moved from NOC 1114 to NOC 11109.
