NOC 2016 Code (4-digit),NOC 2016 Label,NOC 2016 Skill level,NOC 2021 Code (5-digit),NOC 2021 Label,NOC 2021 TEER,Description
,,,11100,Financial auditors and accountants,1,NOC 1114 was split. Job titles related to financial management moved to NOC 1114 to NOC 11100.
,,,11102,Financial advisors,1,NOC 1114 was split. Job titles related to financial advisors moved from NOC 1114 to new NOC 11102.
1122,Professional occupations in business management consulting,A,11201,Professional occupations in business management consulting,1,N/A
6552,Other customer and information services representatives,C,64409,Other customer and information services representatives,4,N/A
1123,"Professional occupations in advertising, marketing and public relations",A,11202,"Professional occupations in advertising, marketing and public relations",1,"NOC 1123 was split. Job titles related to professional occupations in advertising, marketing and public relations moved from NOC 1123 to NOC 11202."
,,,10022,"Advertising, marketing and public relations managers",0,"NOC 1123 was split. Job title ""social media community manager"" updated to ""social media manager"" moved from NOC 1123 to NOC 10022."
,,,64409,Other customer and information services representatives,4,"NOC 1123 was split. Job titles ""tourism information officer"" and ""tourism information technician"" moved from NOC 1123 to NOC 64409."
1211,"Supervisors, general office and administrative support workers",B,12010,"Supervisors, general office and administrative support workers",2,N/A
1212,"Supervisors, finance and insurance office workers",B,12011,"Supervisors, finance and insurance office workers",2,N/A
1213,"Supervisors, library, correspondence and related information workers",B,12012,"Supervisors, library, correspondence and related information workers",2,N/A
1214,"Supervisors, mail and message distribution occupations",B,72025,"Supervisors, mail and message distribution occupations",2,"NOC 1214 moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
7534,Air transport ramp attendants,C,74202,Air transport ramp attendants,4,N/A
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",B,12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",2,"NOC 1215 was split. Job titles related to supervisors in supply chain, tracking and scheduling coordination occupations moved from NOC 1215 to NOC 12013."
,,,13201,Production and transportation logistics coordinators,3,"NOC 1215 was split. Job titles related to non-supervisor logistics, freight, transportation positions moved from NOC 1215 to NOC 13201."
,,,74202,Air transport ramp attendants,4,"NOC 1215 was split. Job title ""Ramp services supervisor - airport"" moved from NOC 1215 to NOC 74202."
1221,Administrative officers,B,13100,Administrative officers,3,N/A
1222,Executive assistants,B,12100,Executive assistants,2,N/A
1223,Human resources and recruitment officers,B,12101,Human resources and recruitment officers,2,N/A
1224,Property administrators,B,13101,Property administrators,3,N/A
1225,Purchasing agents and officers,B,12102,Procurement and purchasing agents and officers,2,N/A
1226,Conference and event planners,B,12103,Conference and event planners,2,N/A
4211,Paralegal and related occupations,B,42200,Paralegal and related occupations,2,N/A
1227,Court officers and justices of the peace,B,10019,Other administrative services managers,0,"NOC 1227 was spilt. Job title ""Court registrar"" moved from NOC 1227 to NOC 10019."
,,,14103,Court clerks and related court services occupations,4,NOC 1227 was spilt. Job titles related to court officers and court administrators moved from NOC 1227 to NOC 14103.
,,,42200,Paralegal and related occupations,2,NOC 1227 was spilt. Job titles related to justices of the peace moved from NOC 1227 to NOC 42200.
1228,"Employment insurance, immigration, border services and revenue officers",B,12104,Employment insurance and revenue officers,2,NOC 1228 was split. Job titles related to employment insurance and revenue moved from NOC 1228 to NOC 12104.
,,,43203,"Border services, customs, and immigration officers",3,"NOC 1228 was split. Job titles related to immigration and border service moved from NOC 1228 to NOC 43203. Occupation was moved to the social sector, BOC 4 (Occupations in education, law and social, community and government services)."
1242,Legal administrative assistants,B,13111,Legal administrative assistants,3,N/A
1243,Medical administrative assistants,B,13112,Medical administrative assistants,3,N/A
1251,"Court reporters, medical transcriptionists and related occupations",B,12110,"Court reporters, medical transcriptionists and related occupations",2,N/A
1252,Health information management occupations,B,12111,Health information management occupations,2,N/A
1253,Records management technicians,B,12112,Records management technicians,2,N/A
1254,Statistical officers and related research support occupations,B,12113,Statistical officers and related research support occupations,2,N/A
1311,Accounting technicians and bookkeepers,B,12200,Accounting technicians and bookkeepers,2,N/A
1312,Insurance adjusters and claims examiners,B,12201,Insurance adjusters and claims examiners,2,N/A
1313,Insurance underwriters,B,12202,Insurance underwriters,2,N/A
1314,"Assessors, valuators and appraisers",B,12203,"Assessors, business valuators and appraisers",2,N/A
1315,"Customs, ship and other brokers",B,13200,"Customs, ship and other brokers",3,N/A
1411,General office support workers,C,14100,General office support workers,4,N/A
1414,Receptionists,C,14101,Receptionists,4,N/A
1415,Personnel clerks,C,14102,Personnel clerks,4,N/A
1416,Court clerks,C,14103,Court clerks and related court services occupations,4,N/A
1422,Data entry clerks,C,14111,Data entry clerks,4,N/A
1423,Desktop publishing operators and related occupations,C,14112,Desktop publishing operators and related occupations,4,N/A
1431,Accounting and related clerks,C,14200,Accounting and related clerks,4,N/A
1432,Payroll administrators,C,13102,Payroll administrators,3,N/A
1434,"Banking, insurance and other financial clerks",C,14201,"Banking, insurance and other financial clerks",4,N/A
1435,Collectors,C,14202,Collection clerks,4,N/A
1451,Library assistants and clerks,C,14300,Library assistants and clerks,4,N/A
1452,"Correspondence, publication and regulatory clerks",C,14301,"Correspondence, publication and regulatory clerks",4,N/A
1454,Survey interviewers and statistical clerks,C,14110,Survey interviewers and statistical clerks,4,N/A
1511,"Mail, postal and related workers",C,64401,Postal services representatives,4,"NOC 1511 was split. Job titles related to postal clerks and workers moved from NOC 1511 to NOC 64401. Mail clerk and postal worker occupation was moved to services sector, BOC 6 (sales and service occupations)."
,,,74100,Mail and parcel sorters and related occupations,4,"NOC 1511 was split. Job titles related to mail and parcel sorter moved from NOC 1511 to NOC 74100. Mail and parcel sorter occupation was moved to transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
1512,Letter carriers,C,74101,Letter carriers,4,"NOC 1512 was moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
1513,"Couriers, messengers and door-to-door distributors",C,74102,Couriers and messengers,4,"NOC 1513 was split. Job titles related to couriers and messengers moved from NOC 1513 to NOC 74102. Courier and messenger occupation was moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
,,,75201,Delivery service drivers and door-to-door distributors,5,NOC 1513 was split. Job titles related to door-to-door distributors moved from NOC 1513 to NOC 7514 75201.
1521,Shippers and receivers,C,14400,Shippers and receivers,4,N/A
1522,Storekeepers and partspersons,C,14401,Storekeepers and partspersons,4,N/A
1523,Production logistics co-ordinators,C,14402,Production logistics workers,4,NOC 1523 was split. Job titles related to production logistic workers moved from NOC 1523 to NOC 14402.
,,,13201,Production and transportation logistics coordinators,,NOC 1523 was split. Job titles related to production logistic coordination moved from NOC 1523 to NOC 13201.
1524,Purchasing and inventory control workers,C,14403,Purchasing and inventory control workers,4,N/A
1525,Dispatchers,C,14404,Dispatchers,4,N/A
1526,Transportation route and crew schedulers,C,14405,Transportation route and crew schedulers,4,N/A
211,Engineering managers,A,20010,Engineering managers,0,N/A
212,Architecture and science managers,A,20011,Architecture and science managers,0,N/A
213,Computer and information systems managers,A,20012,Computer and information systems managers,0,N/A
2111,Physicists and astronomers,A,21100,Physicists and astronomers,1,N/A
2112,Chemists,A,21101,Chemists,1,N/A
2113,Geoscientists and oceanographers,A,21102,Geoscientists and oceanographers,1,N/A
2114,Meteorologists and climatologists,A,21103,Meteorologists and climatologists,1,N/A
2115,Other professional occupations in physical sciences,A,21109,Other professional occupations in physical sciences,1,N/A
2121,Biologists and related scientists,A,21110,Biologists and related scientists,1,N/A
2122,Forestry professionals,A,21111,Forestry professionals,1,N/A
2123,"Agricultural representatives, consultants and specialists",A,21112,"Agricultural representatives, consultants and specialists",1,N/A
2131,Civil engineers,A,21300,Civil engineers,1,N/A
2132,Mechanical engineers,A,21301,Mechanical engineers,1,N/A
2133,Electrical and electronics engineers,A,21310,Electrical and electronics engineers,1,N/A
2134,Chemical engineers,A,21320,Chemical engineers,1,N/A
2141,Industrial and manufacturing engineers,A,21321,Industrial and manufacturing engineers,1,N/A
2142,Metallurgical and materials engineers,A,21322,Metallurgical and materials engineers,1,N/A
2143,Mining engineers,A,21330,Mining engineers,1,N/A
2144,Geological engineers,A,21331,Geological engineers,1,N/A
2145,Petroleum engineers,A,21332,Petroleum engineers,1,N/A
2146,Aerospace engineers,A,21390,Aerospace engineers,1,N/A
2147,Computer engineers (except software engineers and designers),A,21311,Computer engineers (except software engineers and designers),1,N/A
2148,"Other professional engineers, n.e.c.",A,21399,Other professional engineers,1,N/A
2151,Architects,A,21200,Architects,1,N/A
2152,Landscape architects,A,21201,Landscape architects,1,N/A
2153,Urban and land use planners,A,21202,Urban and land use planners,1,N/A
2154,Land surveyors,A,21203,Land surveyors,1,N/A
2161,"Mathematicians, statisticians and actuaries",A,21210,"Mathematicians, statisticians and actuaries",1,N/A
2171,Information systems analysts and consultants,A,21211,Data scientists,1,NOC 2171 was split. Job titles related to AI analysis and consulting moved from NOC 2171 to NOC 21211.
,,,21220,Cybersecurity specialists,1,NOC 2171 was split. Job titles related to cybersecurity moved from NOC 2171 to NOC 21220.
,,,21221,Business system specialists,1,NOC 2171 was split. Job titles related to business systems moved from NOC 2171 to NOC 21211.
,,,21222,Information systems specialists,1,NOC 2171 was split. Job titles related to information system specialists moved from NOC 2171 to NOC 21222.
,,,21233,Web designers,1,"NOC 2171 was split. Job titles ""interactive media consultant"" and ""multimedia consultant"" moved from NOC 2171 to NOC 21233."
2172,Database analysts and data administrators,A,21223,Database analysts and data administrators,1,NOC 2172 was split. Job titles related to database analysts and data administrators moved from NOC 2172 to NOC 21223.
,,,21211,Data scientists,1,NOC 2172 was split. Job titles related to data scientist and data miner moved from NOC 2172 to NOC 21211.
2173,Software engineers and designers,A,21231,Software engineers and designers,1,NOC 2173 was split. Job titles related to software engineers and designers moved from NOC 2173 to NOC 21231.
,,,21211,Data scientists,1,NOC 2173 was split. Job title Artificial intelligence (AI) designer moved from NOC 2173 to NOC 21211.
2174,Computer programmers and interactive media developers,A,21230,Computer systems developers and programmers,1,NOC 2174 was split. Job titles related to computer systems development and programming moved from NOC 2174 to NOC 21230
,,,21232,Software developers and programmers,1,NOC 2174 was split. Job titles related to software and multimedia development moved from NOC 2174 to NOC 21232.
,,,21234,Web developers and programmers,1,NOC 2174 was split. Job titles related to web development and programming moved from NOC 2174 to NOC 21234.
2175,Web designers and developers,A,21233,Web designers,1,NOC 2175 was split. Job titles related to web design moved from NOC 2175 to NOC 21233.
,,,21234,Web developers and programmers,1,NOC 2175 was split. Job titles related to web development and programing moved from NOC 2175 to NOC 21234.
2211,Chemical technologists and technicians,B,22100,Chemical technologists and technicians,2,N/A
2212,Geological and mineral technologists and technicians,B,22101,Geological and mineral technologists and technicians,2,N/A
2221,Biological technologists and technicians,B,22110,Biological technologists and technicians,2,N/A
2222,Agricultural and fish products inspectors,B,22111,Agricultural and fish products inspectors,2,N/A
2223,Forestry technologists and technicians,B,22112,Forestry technologists and technicians,2,N/A
2224,Conservation and fishery officers,B,22113,Conservation and fishery officers,2,N/A
2225,Landscape and horticulture technicians and specialists,B,22114,Landscape and horticulture technicians and specialists,2,N/A
2231,Civil engineering technologists and technicians,B,22300,Civil engineering technologists and technicians,2,N/A
2232,Mechanical engineering technologists and technicians,B,22301,Mechanical engineering technologists and technicians,2,N/A
2233,Industrial engineering and manufacturing technologists and technicians,B,22302,Industrial engineering and manufacturing technologists and technicians,2,N/A
2234,Construction estimators,B,22303,Construction estimators,2,N/A
2241,Electrical and electronics engineering technologists and technicians,B,22310,Electrical and electronics engineering technologists and technicians,2,N/A
2242,Electronic service technicians (household and business equipment),B,22311,Electronic service technicians (household and business equipment),2,N/A
2243,Industrial instrument technicians and mechanics,B,22312,Industrial instrument technicians and mechanics,2,N/A
2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",B,22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",2,N/A
2251,Architectural technologists and technicians,B,22210,Architectural technologists and technicians,2,N/A
2252,Industrial designers,B,22211,Industrial designers,2,N/A
2253,Drafting technologists and technicians,B,22212,Drafting technologists and technicians,2,N/A
2254,Land survey technologists and technicians,B,22213,Land survey technologists and technicians,2,N/A
2255,Technical occupations in geomatics and meteorology,B,22214,Technical occupations in geomatics and meteorology,2,N/A
2261,Non-destructive testers and inspection technicians,B,22230,Non-destructive testers and inspectors,2,N/A
2262,Engineering inspectors and regulatory officers,B,22231,Engineering inspectors and regulatory officers,2,N/A
2263,Inspectors in public and environmental health and occupational health and safety,B,21120,Public and environmental health and safety professionals,1,NOC 2263 was split. Job titles related to public and environmental health and safety moved from NOC 2263 to NOC 21120
,,,22232,Occupational health and safety specialists,2,NOC 2263 was split. Job titles related to occupational health and safety moved from NOC 2263 to NOC 22232.
2264,Construction inspectors,B,22233,Construction inspectors,2,N/A
2271,"Air pilots, flight engineers and flying instructors",B,72600,"Air pilots, flight engineers and flying instructors",2,"NOC 2271 was moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
2272,Air traffic controllers and related occupations,B,72601,Air traffic controllers and related occupations,2,"NOC 2272 was moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
2273,"Deck officers, water transport",B,72602,"Deck officers, water transport",2,"NOC 2273 was moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
2274,"Engineer officers, water transport",B,72603,"Engineer officers, water transport",2,"NOC 2274 was moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
2275,Railway traffic controllers and marine traffic regulators,B,72604,Railway traffic controllers and marine traffic regulators,2,"NOC 2275 was moved to the transport sector, BOC 7 (Trades, transport and equipment operators and related occupations)."
2281,Computer network technicians,B,22220,Computer network and web technicians,2,N/A
2282,User support technicians,B,22221,User support technicians,2,N/A
2283,Information systems testing technicians,B,22222,Information systems testing technicians,2,N/A
311,Managers in health care,A,30010,Managers in health care,0,N/A
3011,Nursing co-ordinators and supervisors,A,31300,Nursing coordinators and supervisors,1,N/A
3012,Registered nurses and registered psychiatric nurses,A,31301,Registered nurses and registered psychiatric nurses,1,N/A
3111,Specialist physicians,A,31100,Specialists in clinical and laboratory medicine,1,NOC 3111 was split. Job titles related to specialists in clinical and laboratory medicine moved from NOC 3111 to NOC 31100
,,,31101,Specialists in surgery,1,NOC 3111 was split. Job titles related to surgery specialists moved from NOC 3111 to NOC 31101.
3112,General practitioners and family physicians,A,31102,General practitioners and family physicians,1,N/A
3113,Dentists,A,31110,Dentists,1,N/A
3114,Veterinarians,A,31103,Veterinarians,1,N/A
3121,Optometrists,A,31111,Optometrists,1,N/A
3122,Chiropractors,A,31201,Chiropractors,1,N/A
3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",B,32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",2,N/A
3124,Allied primary health practitioners,A,31302,Nurse practitioners,1,NOC 3124 was split. Job titles related to nurse practitioner moved from NOC 3124 to new NOC 31302.
,,,32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",2,NOC 3124 was split. Job title anesthesia assistant moved from NOC 3124 to NOC 32103.
,,,31303,"Physician assistants, midwives and allied health professionals",1,"NOC 3124 was split. Job titles related to physician assistants, midwives and allied health professionals moved from NOC 3124 to NOC 31303."
3125,Other professional occupations in health diagnosing and treating,A,31209,Other professional occupations in health diagnosing and treating,1,NOC 3125 was split. Job titles related to professional occupations in health diagnosing and treating was moved from NOC 3125 to NOC 31209.
,,,31303,"Physician assistants, midwives and allied health professionals",1,NOC 3125 was split. Job titles related to Orthoptist moved from NOC 3125 to NOC 31303.
3131,Pharmacists,A,31120,Pharmacists,1,N/A
3132,Dietitians and nutritionists,A,31121,Dietitians and nutritionists,1,N/A
3141,Audiologists and speech-language pathologists,A,31112,Audiologists and speech-language pathologists,1,N/A
3142,Physiotherapists,A,31202,Physiotherapists,1,NOC 3142 was split. Job titles related to physiotherapy was moved from NOC 3142 to NOC 31202.
3143,Occupational therapists,A,31203,Occupational therapists,1,N/A
3144,Other professional occupations in therapy and assessment,A,31204,Kinesiologists and other professional occupations in therapy and assessment,1,NOC 3144 was split. Job titles related to kinesiologist and other professional therapy and assessment moved from NOC 3144 to NOC 31204.
,,,41301,Therapists in counselling and related specialized therapies,1,NOC 3144 was split. Job titles related to art therapy moved from NOC 3144 to NOC 41301.
3211,Medical laboratory technologists,B,32120,Medical laboratory technologists,2,N/A
3212,Medical laboratory technicians and pathologists' assistants,B,33101,Medical laboratory assistants and related technical occupations,3,NOC 3212 was split. Job titles related to medical laboratory assistants and related technical occupations was moved from NOC 3212 to NOC 33101.
,,,31303,"Physician assistants, midwives and allied health professionals",1,NOC 3212 was split. Job titles related to pathologist assistant moved from NOC 3212 to NOC 31303.
,,,32120,Medical laboratory technologists,2,"NOC 3212 was split. Job title ""combined laboratory and x-ray technician"" moved from NOC 3212 to NOC 32120."
3213,Animal health technologists and veterinary technicians,B,32104,Animal health technologists and veterinary technicians,2,N/A
3215,Medical radiation technologists,B,32121,Medical radiation technologists,2,N/A
3216,Medical sonographers,B,32122,Medical sonographers,2,N/A
3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",B,32123,Cardiology technologists and electrophysiological diagnostic technologists,2,N/A
3219,Other medical technologists and technicians (except dental health),B,32124,Pharmacy technicians,2,NOC 3219 was split. Job titles related to pharmacy technician moved from NOC 3219 to NOC 32124.
,,,32129,Other medical technologists and technicians,2,NOC 3219 was split. Job titles related to other medical technologist and technicians moved from NOC 3219 to NOC 32129.
,,,33103,Pharmacy technical assistants and pharmacy assistants,3,NOC 3219 was split. Job titles related to pharmacy technical assistant moved from NOC 3219 to NOC 33103.
3221,Denturists,B,32110,Denturists,2,N/A
3222,Dental hygienists and dental therapists,B,32111,Dental hygienists and dental therapists,2,N/A
3223,"Dental technologists, technicians and laboratory assistants",B,32112,Dental technologists and technicians,2,NOC 3223 was split. Job titles related to dental technologist and technicians moved from NOC 3223 to NOC 32112.
,,,33100,Dental assistants and dental laboratory assistants,3,NOC 3223 was split. Job titles related to dental assistant and dental laboratory assistant moved from NOC 3223 to NOC 33100.
3231,Opticians,B,32100,Opticians,2,N/A
3232,Practitioners of natural healing,B,32200,Traditional Chinese medicine practitioners and acupuncturists,2,NOC 3232 was split. Job titles related to traditional chinese medicine practitioner and acupuncturist moved from NOC 3232 to NOC 32200.
,,,32209,Other practitioners of natural healing,2,NOC 3232 was split. Job titles related other practitioners of natural healing moved from NOC 3232 to NOC 32209.
3233,Licensed practical nurses,B,32101,Licensed practical nurses,2,N/A
3234,Paramedical occupations,B,32102,Paramedical occupations,2,N/A
3236,Massage therapists,B,32201,Massage therapists,2,N/A
3237,Other technical occupations in therapy and assessment,B,32109,Other technical occupations in therapy and assessment,2,NOC 3237 was split. Job titles related to other technical occupations in therapy and assessment moved from NOC 3237 to NOC 32109.
3411,Dental assistants,C,33100,Dental assistants and dental laboratory assistants,3,N/A
3413,"Nurse aides, orderlies and patient service associates",C,33102,"Nurse aides, orderlies and patient service associates",3,N/A
3414,Other assisting occupations in support of health services,C,33109,Other assisting occupations in support of health services,3,NOC 3414 was split. Job titles related to other assisting occupations in support of health services moved from NOC 3414 to NOC 33109.
,,,33103,Pharmacy technical assistants and pharmacy assistants,3,NOC 3414 was split. Job titles related to pharmacy aides and drugstore dispensing assistants moved from NOC 3414 to NOC 33103.
411,Government managers - health and social policy development and program administration,Management / A,40010,Government managers - health and social policy development and program administration,0,N/A
412,"Government managers - economic analysis, policy development and program administration",Management / A,40011,"Government managers - economic analysis, policy development and program administration",0,N/A
413,Government managers - education policy development and program administration,Management / A,40012,Government managers - education policy development and program administration,0,N/A
414,Other managers in public administration,Management / A,40019,Other managers in public administration,0,N/A
421,Administrators - post-secondary education and vocational training,Management / A,40020,Administrators - post-secondary education and vocational training,0,N/A
422,School principals and administrators of elementary and secondary education,Management / A,40021,School principals and administrators of elementary and secondary education,0,N/A
423,"Managers in social, community and correctional services",Management / A,40030,"Managers in social, community and correctional services",0,N/A
431,Commissioned police officers,Management / A,40040,Commissioned police officers and related occupations in public protection services,0,NOC 0431 was split. Job titles related to commissioned police officers and related occupations in public protection services moved from NOC 0431 to NOC 40040.
,,,41310,Police investigators and other investigative occupations,1,NOC 0431 was split. Job titles related to police investigator moved from NOC 0431 to NOC 41310
432,Fire chiefs and senior firefighting officers,Management / A,40041,Fire chiefs and senior firefighting officers,0,N/A
433,Commissioned officers of the Canadian Armed Forces,Management / A,40042,Commissioned officers of the Canadian Armed Forces,0,NOC 0433 was split. Job titles related to commissioned officers of the Canadian Armed Forces moved from NOC 0433 to NOC 40042.
,,,40040,Commissioned police officers and related occupations in public protection services,0,"NOC 0433 was split. Job title ""Military police officer – commissioned"" moved from 0433 to NOC 40040."
4011,University professors and lecturers,A,41200,University professors and lecturers,1,N/A
4012,Post-secondary teaching and research assistants,A,41201,Post-secondary teaching and research assistants,1,N/A
4021,College and other vocational instructors,A,41210,College and other vocational instructors,1,N/A
4031,Secondary school teachers,A,41220,Secondary school teachers,1,N/A
4032,Elementary school and kindergarten teachers,A,41221,Elementary school and kindergarten teachers,1,N/A
4033,Educational counsellors,A,41320,Educational counsellors,1,N/A
4111,Judges,A,41100,Judges,1,N/A
4112,Lawyers and Quebec notaries,A,41101,Lawyers and Quebec notaries,1,N/A
4151,Psychologists,A,31200,Psychologists,1,NOC 4151 was split. Job titles related to psychologists moved from NOC 4151 to NOC 31200. Occupation was moved to the Health sector BOC 3.
,,,41301,Therapists in counselling and related specialized therapies,1,NOC 4151 was split. Job titles related to psychotherapy moved from NOC 4151 to NOC 41301.
4152,Social workers,A,41300,Social workers,1,N/A
4153,"Family, marriage and other related counsellors",A,41301,Therapists in counselling and related specialized therapies,1,NOC 4153 was split. Job titles related to therapists in counselling and related specialized therapies moved from NOC 4153 to NOC 41301.
,,,31303,"Physician assistants, midwives and allied health professionals",1,"NOC 4153 was split. Job title ""Genetic counsellor"" moved from NOC 4153 to NOC 31303."
,,,41321,Career development practitioners and career counsellors (except education),1,"NOC 4153 was split. Job title ""vocational counsellors"" moved from NOC 4153 to NOC 41321."
4154,Professional occupations in religion,A,41302,Religious leaders,1,N/A
4212,Social and community service workers,B,42201,Social and community service workers,2,N/A
4155,Probation and parole officers and related occupations,A,41311,Probation and parole officers,1,NOC 4155 was split. Job titles related to probation and parole officers moved from NOC 4155 to NOC 41311
,,,42201,Social and community service workers,2,NOC 4155 was split. Job titles related to correctional case worker and manager moved from NOC 4155 to NOC 42201.
4156,Employment counsellors,A,41321,Career development practitioners and career counsellors (except education),1,N/A
4161,"Natural and applied science policy researchers, consultants and program officers",A,41400,"Natural and applied science policy researchers, consultants and program officers",1,N/A
4162,Economists and economic policy researchers and analysts,A,41401,Economists and economic policy researchers and analysts,1,N/A
4163,Business development officers and marketing researchers and consultants,A,11202,"Professional occupations in advertising, marketing and public relations",1,"NOC 4163 was split. Job title ""Marketing consultant"" moved from NOC 4163 to NOC 11202."
,,,41402,Business development officers and market researchers and analysts,1,NOC 4163 was split. Job titles related to business development officers and market researchers and analyst moved from NOC 4163 to NOC 41403.
4164,"Social policy researchers, consultants and program officers",A,41403,"Social policy researchers, consultants and program officers",1,N/A
4165,"Health policy researchers, consultants and program officers",A,41404,"Health policy researchers, consultants and program officers",1,"NOC 4165 was split. Job titles related to health policy researchers, consultants and program officers moved from NOC 4165 to NOC 41404."
,,,21110,Biologists and related scientists,1,NOC 4165 was split. Job titles related to clinical research moved from NOC 4165 to NOC 21110.
,,,41310,Police investigators and other investigative occupations,1,"NOC 4165 was split. Job title ""coroner"" moved from NOC 4165 to NOC 41310."
4166,"Education policy researchers, consultants and program officers",A,41405,"Education policy researchers, consultants and program officers",1,N/A
4167,"Recreation, sports and fitness policy researchers, consultants and program officers",A,41406,"Recreation, sports and fitness policy researchers, consultants and program officers",1,N/A
4168,Program officers unique to government,A,41407,Program officers unique to government,1,N/A
4169,"Other professional occupations in social science, n.e.c.",A,41409,Other professional occupations in social science,1,N/A
4214,Early childhood educators and assistants,B,42202,Early childhood educators and assistants,2,N/A
4215,Instructors of persons with disabilities,B,42203,Instructors of persons with disabilities,2,N/A
4216,Other instructors,B,43109,Other instructors,3,N/A
4217,Other religious occupations,B,42204,Religion workers,2,N/A
4311,Police officers (except commissioned),B,42100,Police officers (except commissioned),2,NOC 4311 was split. Job titles related to police officers (except commissioned) moved from NOC 4311 to NOC 42100.
,,,41310,Police investigators and other investigative occupations,1,NOC 4311 was split. Job titles related to police investigator moved from NOC 4311 to NOC 41310.
4312,Firefighters,B,42101,Firefighters,2,N/A
4313,Non-commissioned ranks of the Canadian Armed Forces,B,42100,Police officers (except commissioned),2,"NOC 4313 was split. Job title ""Military policeman / woman - except commissioned"" moved from 4313 to NOC 42100."
,,,42102,Specialized members of the Canadian Armed Forces,2,NOC 4313 was split. Job titles for military occupations requiring college education or apprenticeship or 2 years or more moved from NOC 4313 to NOC 42102.
,,,43204,Operations Members of the Canadian Armed Forces,3,NOC 4313 was split. Job titles for military occupations requiring a college certificate or apprenticeship of less than 2 years moved from NOC 4313 to NOC 43204.
,,,44200,Primary combat members of the Canadian Armed Forces,4,NOC 4313 was split. Job titles for military occupations NOT requiring college education or apprenticeship moved from NOC 4313 to NOC 44200.
