NOC 2021 Code (5-digit),NOC 2021 Label,NOC 2021 TEER,NOC 2016 Code (4-digit),NOC 2016 Label,NOC 2016 Skill level,Description
10,Legislators,0,11,Legislators,Management / A,N/A
00018,"Senior managers - public and private sector",0,12,Senior government managers and officials,Management / A,N/A
,,,13,"Senior managers - financial, communications and other business services",Management / A,N/A
,,,14,"Senior managers - health, education, social and community services and membership organizations",Management / A,N/A
,,,15,"Senior managers - trade, broadcasting and other services, nec",Management / A,N/A
,,,16,"Senior managers - construction, transportation, production and utilities",Management / A,N/A
10010,Financial managers,0,111,Financial managers,Management / A,N/A
10011,Human resources managers,0,112,Human resources managers,Management / A,NOC 0112 was split. Job titles related to human resources managers moved from NOC 0112 to NOC 10011.
10012,Purchasing managers,0,113,Purchasing managers,Management / A,N/A
10019,Other administrative services managers,0,114,Other administrative services managers,Management / A,Job titles related to other administrative service managers moved from NOC 0114 to NOC 10019.
,,,1227,Court officers and justices of the peace,B,"NOC 1227 was spilt. Job title ""Court registrar"" moved from NOC 1227 to NOC 10019."
10020,"Insurance, real estate and financial brokerage managers",0,121,"Insurance, real estate and financial brokerage managers",Management / A,N/A
10021,"Banking, credit and other investment managers",0,122,"Banking, credit and other investment managers",Management / A,N/A
10022,"Advertising, marketing and public relations managers",0,124,"Advertising, marketing and public relations managers",Management / A,"Job titles related to advertising, marketing and public relations managers moved from NOC 0124 to NOC 10022."
,,,1123,"Professional occupations in advertising, marketing and public relations",A,"NOC 1123 was split. Job title ""social media community manager"" updated to ""social media manager"" moved from NOC 1123 to NOC 10022."
10029,Other business services managers,0,125,Other business services managers,Management / A,N/A
10030,Telecommunication carriers managers,0,131,Telecommunication carriers managers,Management / A,N/A
11100,Financial auditors and accountants,1,1111,Financial auditors and accountants,A,Job titles related to financial auditors and accountants moved from NOC 1111 to NOC 11100.
,,,1114,Other financial officers,A,NOC 1114 was split. Job titles related to financial management moved to NOC 1114 to NOC 11100.
11101,Financial and investment analysts,1,1112,Financial and investment analysts,A,N/A
11102,Financial advisors,1,1114,Other financial officers,A,NOC 1114 was split. Job titles related to financial advisors moved from NOC 1114 to NOC 11102.
11103,"Securities agents, investment dealers and brokers",1,1113,"Securities agents, investment dealers and brokers",A,N/A
11109,Other financial officers,1,1114,Other financial officers,A,NOC 1114 was split. Job titles related to other financial officers moved from NOC 1114 to NOC 11109.
11200,Human resources professionals,1,1121,Human resources professionals,A,Job titles related to human resources professionals moved from NOC 1121 to NOC 11200.
,,,112,Human resources managers,Management / A,"NOC 0112 was split. Job title ""staff training coordinator"" moved from NOC 0112 to NOC 11200."
11201,Professional occupations in business management consulting,1,1122,Professional occupations in business management consulting,A,N/A
11202,"Professional occupations in advertising, marketing and public relations",1,1123,"Professional occupations in advertising, marketing and public relations",A,"NOC 1123 was split. Job titles related to professional occupations in advertising, marketing and public relations moved from NOC 1123 to NOC 11202."
,,,4163,Business development officers and marketing researchers and consultants,A,"NOC 4163 was split. Job title ""marketing consultant"" moved from NOC 4163 to NOC 11202."
12010,"Supervisors, general office and administrative support workers",2,1211,"Supervisors, general office and administrative support workers",B,N/A
12011,"Supervisors, finance and insurance office workers",2,1212,"Supervisors, finance and insurance office workers",B,N/A
12012,"Supervisors, library, correspondence and related information workers",2,1213,"Supervisors, library, correspondence and related information workers",B,N/A
12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",2,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",B,"NOC 1215 was split. Job titles related to supervisors in supply chain, tracking and scheduling coordination occupations moved from NOC 1215 to NOC 12013."
12100,Executive assistants,2,1222,Executive assistants,B,N/A
