"Find a Job",,,,,yes,"update name; REMOVE LP",https://www.workbc.ca/search-and-prepare-job,REMOVE,"Search and Prepare for a Job"
,"Search Jobs",,,,yes,"update name & URL; update vanity URL","https://www.workbc.ca/search-and-prepare-job/find-jobs,https://www.workbc.ca/jobs","https://www.workbc.ca/find-job/search-jobs,https://www.workbc.ca/jobs","Find Jobs"
,,"Job Search Tips",,,,"update URL only",https://www.workbc.ca/search-and-prepare-job/find-jobs/job-search-tips,https://www.workbc.ca/find-job/search-jobs/job-search-tips,
,"Industry Job Boards",,,,yes,"update URL only",https://www.workbc.ca/search-and-prepare-job/industry-job-boards,https://www.workbc.ca/find-job/industry-job-boards,
,"Career Events",,,,yes,"move IA; update URL",https://www.workbc.ca/plan-career/career-events,https://www.workbc.ca/find-job/career-events,
,," Find Your Fit Tour",,,,"move IA; update URL; update vanity URLs","https://www.workbc.ca/plan-career/career-events/find-your-fit-tour,https://www.workbc.ca/findyourfit","https://www.workbc.ca/find-job/career-events/find-your-fit-tour,https://www.workbc.ca/findyourfit,https://www.findyourfittour.ca ",
,,,"Request a Tour Stop",,,"REMOVE page",https://www.workbc.ca/plan-career/career-events/find-your-fit-tour/request-tour-stop,REMOVE,
,,"Calendar of Upcoming Events",,,,"move IA, update URL",https://www.workbc.ca/plan-career/career-events/calendar-upcoming-events,https://www.workbc.ca/find-job/career-events/calendar-upcoming-events,
,,"Career and Education Fairs",,,,"move IA, update URL",https://www.workbc.ca/plan-career/career-events/career-and-education-fairs,https://www.workbc.ca/find-job/career-events/career-and-education-fairs,
,"Work in British Columbia",,,,,"REMOVE page",https://www.workbc.ca/search-and-prepare-job/work-british-columbia,REMOVE,
,,"Why You Should Come Work in B.C.",,,,"REMOVE page",https://www.workbc.ca/search-and-prepare-job/work-british-columbia/why-you-should-come-work-bc,REMOVE,
,,"Get Started on Your Career in B.C.",,,,"REMOVE page, content moved",https://www.workbc.ca/search-and-prepare-job/work-british-columbia/get-started-your-career-bc,REMOVE,
,"WorkBC Job Board Advantage",,,,,"REMOVE page",https://www.workbc.ca/search-and-prepare-job/workbc-job-board-advantage,REMOVE,
,,,,,,,,,
"Plan a Career",,,,,yes,"REMOVE LP",https://www.workbc.ca/plan-career,REMOVE,
,"Career Exploration Hub",,,,yes,"update L2 label/name;
update page (by editors)","https://www.workbc.ca/plan-career/explore-careers,https://www.workbc.ca/careers  ","https://www.workbc.ca/plan-career/explore-careers,https://www.workbc.ca/careers  ","Explore Careers"
,,"Career Transition Tool",,,,"no updates","https://www2.workbc.ca/careertransitiontool,https://www.workbc.ca/careertransitiontool/","https://www2.workbc.ca/careertransitiontool,https://www.workbc.ca/careertransitiontool/",
,,Self-Employment,,,,"no updates",https://www.workbc.ca/plan-career/explore-careers/self-employment,https://www.workbc.ca/plan-career/explore-careers/self-employment,
,,"Types of Employment",,,,"REMOVE page, content moved",https://www.workbc.ca/plan-career/explore-careers/types-employment-bc,REMOVE,
,,Glossary,,,,"update name, move IA (to footer) update URL",https://www.workbc.ca/plan-career/explore-careers/definitions,REMOVE,Definitions
,"Career Profiles",,,,yes,"move IA to L2; update URL; update vanity URL","https://www.workbc.ca/plan-career/explore-careers/career-profiles,https://www.workbc.ca/careerprofiles","https://www.workbc.ca/plan-career/career-profiles,https://www.workbc.ca/careerprofiles",
,,"Career Profile Search",,,,"move IA to L3; update URL",https://www.workbc.ca/plan-career/explore-careers/career-profiles/search,https://www.workbc.ca/plan-career/career-profiles/search,
,"Career Discovery Quizzes",,,,yes,"move IA to L2;  update vanity name & URL","https://careerdiscoveryquizzes.workbc.ca,https://www.workbc.ca/careercompass","https://careerdiscoveryquizzes.workbc.ca,https://www.workbc.ca/careercompass",
,"Career Trek Videos",,,,yes,"no updates",https://www.workbc.ca/plan-career/career-trek-videos,https://www.workbc.ca/plan-career/career-trek-videos,
,"Inclusive Career Resources",,,,yes,"update L2 label/name; no update to URL",https://www.workbc.ca/plan-career/resources,https://www.workbc.ca/plan-career/resources,"Resources for"
,,2SLGBTQIA+,,,,"no updates",https://www.workbc.ca/plan-career/resources/2slgbtqia,https://www.workbc.ca/plan-career/resources/2slgbtqia,
,,"Indigenous Peoples",,,,"update vanity URLs, no other updates","https://www.workbc.ca/plan-career/resources/indigenous-peoples,https://www.workbc.ca/Aboriginal,https://www.workbc.ca/indigenous","https://www.workbc.ca/plan-career/resources/indigenous-peoples,https://www.workbc.ca/Aboriginal,https://www.workbc.ca/indigenous",
,,"People with Disabilities",,,,"update vanity URL, no other updates","https://www.workbc.ca/plan-career/resources/people-disabilities,https://www.workbc.ca/accessibility","https://www.workbc.ca/plan-career/resources/people-disabilities,https://www.workbc.ca/accessibility",
,,Parents,,,,"update vanity URL, no other updates","https://www.workbc.ca/plan-career/resources/parents,https://www.workbc.ca/parents","https://www.workbc.ca/plan-career/resources/parents,https://www.workbc.ca/parents",
,,,"Step 1: Getting Started",,,"no updates",https://www.workbc.ca/plan-career/resources/parents/step-1-getting-started,https://www.workbc.ca/plan-career/resources/parents/step-1-getting-started,
,,,"Step 2: Knowing Oneself",,,"no updates",https://www.workbc.ca/plan-career/resources/parents/step-2-knowing-oneself,https://www.workbc.ca/plan-career/resources/parents/step-2-knowing-oneself,
,,,"Step 3: Exploring the Possibilities",,,"no updates",https://www.workbc.ca/plan-career/resources/parents/step-3-exploring-possibilities,https://www.workbc.ca/plan-career/resources/parents/step-3-exploring-possibilities,
,,,"Step 4: Making a Plan",,,"no updates",https://www.workbc.ca/plan-career/resources/parents/step-4-making-plan,https://www.workbc.ca/plan-career/resources/parents/step-4-making-plan,
,,,"Step 5: Getting Skills and Experience",,,"no updates",https://www.workbc.ca/plan-career/resources/parents/step-5-getting-skills-and-experience,https://www.workbc.ca/plan-career/resources/parents/step-5-getting-skills-and-experience,
,,,"Step 6: Financing an Education",,,"no updates",https://www.workbc.ca/plan-career/resources/parents/step-6-financing-education,https://www.workbc.ca/plan-career/resources/parents/step-6-financing-education,
,,,"Step 7: Entering the Workforce",,,"no updates",https://www.workbc.ca/plan-career/resources/parents/step-7-entering-workforce,https://www.workbc.ca/plan-career/resources/parents/step-7-entering-workforce,
,,,"Discovering Resources",,,"no updates",https://www.workbc.ca/plan-career/resources/parents/discovering-resources,https://www.workbc.ca/plan-career/resources/parents/discovering-resources,
,,"Mature Workers",,,,"no updates",https://www.workbc.ca/plan-career/resources/mature-workers,https://www.workbc.ca/plan-career/resources/mature-workers,
,,"People New to B.C.",,,,"no updates",https://www.workbc.ca/plan-career/resources/people-new-bc,"https://www.workbc.ca/plan-career/resources/people-new-bc,https://www.workbc.ca/getstarted",
,,"Veterans and Serving Military Members",,,,"no updates",https://www.workbc.ca/plan-career/resources/veterans-and-serving-military-members,https://www.workbc.ca/plan-career/resources/veterans-and-serving-military-members,
,,Women,,,,"update vanity URLs, no other updates","https://www.workbc.ca/plan-career/resources/women,https://www.workbc.ca/woman,https://www.workbc.ca/women","https://www.workbc.ca/plan-career/resources/women,https://www.workbc.ca/woman,https://www.workbc.ca/women",
,,Youth,,,,"update vanity URL, no other updates","https://www.workbc.ca/plan-career/resources/youth,https://www.workbc.ca/youth","https://www.workbc.ca/plan-career/resources/youth,https://www.workbc.ca/youth",
